,value,metric,type
0,0.0,road_viols,full
1,0.0,road_viols,full
2,1980.0,road_viols,full
3,0.0,road_viols,full
4,0.0,road_viols,full
5,0.0,road_viols,full
6,0.0,road_viols,full
7,0.0,road_viols,full
8,0.0,road_viols,full
9,0.0,road_viols,full
10,1997.0,road_viols,full
11,0.0,road_viols,full
12,0.0,road_viols,full
13,0.0,road_viols,full
14,0.0,road_viols,full
15,0.0,road_viols,full
16,0.0,road_viols,full
17,0.0,road_viols,full
18,0.0,road_viols,full
19,1992.0,road_viols,full
20,0.0,road_viols,full
21,0.0,road_viols,full
22,0.0,road_viols,full
23,0.0,road_viols,full
24,0.0,road_viols,full
25,0.0,road_viols,full
26,0.0,road_viols,full
27,0.0,road_viols,full
28,0.0,road_viols,full
29,1994.0,road_viols,full
30,0.0,road_viols,full
31,0.0,road_viols,full
32,0.0,road_viols,full
33,0.0,road_viols,full
34,0.0,road_viols,full
35,0.0,road_viols,full
36,0.0,road_viols,full
37,0.0,road_viols,full
38,0.0,road_viols,full
39,1989.0,road_viols,full
40,0.0,road_viols,full
41,0.0,road_viols,full
42,1987.0,road_viols,full
43,0.0,road_viols,full
44,0.0,road_viols,full
45,0.0,road_viols,full
46,0.0,road_viols,full
47,0.0,road_viols,full
48,1899.0,road_viols,full
49,0.0,road_viols,full
50,0.0,road_viols,full
51,1807.0,road_viols,full
52,1984.0,road_viols,full
53,0.0,road_viols,full
54,0.0,road_viols,full
55,0.0,road_viols,full
56,0.0,road_viols,full
57,99.0,road_viols,full
58,0.0,road_viols,full
59,0.0,road_viols,full
60,6.0,road_viols,full
61,1.0,road_viols,full
62,0.0,road_viols,full
63,0.0,road_viols,full
64,0.0,road_viols,full
65,0.0,road_viols,full
66,29.0,road_viols,full
67,0.0,road_viols,full
68,0.0,road_viols,full
69,2.0,road_viols,full
70,69.0,road_viols,full
71,0.0,road_viols,full
72,0.0,road_viols,full
73,0.0,road_viols,full
74,0.0,road_viols,full
75,23.0,road_viols,full
76,0.0,road_viols,full
77,0.0,road_viols,full
78,0.0,road_viols,full
79,33.0,road_viols,full
80,0.0,road_viols,full
81,0.0,road_viols,full
82,501.0,road_viols,full
83,0.0,road_viols,full
84,32.0,road_viols,full
85,0.0,road_viols,full
86,0.0,road_viols,full
87,5.0,road_viols,full
88,2.0,road_viols,full
89,0.0,road_viols,full
90,0.0,road_viols,full
91,35.0,road_viols,full
92,0.0,road_viols,full
93,26.0,road_viols,full
94,0.0,road_viols,full
95,0.0,road_viols,full
96,3.0,road_viols,full
97,3.0,road_viols,full
98,0.0,road_viols,full
99,0.0,road_viols,full
100,65.0,road_viols,full
101,0.0,road_viols,full
102,835.0,road_viols,full
103,0.0,road_viols,full
104,0.0,road_viols,full
105,0.0,road_viols,full
106,0.0,road_viols,full
107,0.0,road_viols,full
108,0.0,road_viols,full
109,79.0,road_viols,full
110,0.0,road_viols,full
111,1942.0,road_viols,full
112,0.0,road_viols,full
113,0.0,road_viols,full
114,0.0,road_viols,full
115,6.0,road_viols,full
116,0.0,road_viols,full
117,0.0,road_viols,full
118,61.0,road_viols,full
119,0.0,road_viols,full
120,1985.0,road_viols,full
121,0.0,road_viols,full
122,0.0,road_viols,full
123,1.0,road_viols,full
124,1.0,road_viols,full
125,0.0,road_viols,full
126,0.0,road_viols,full
127,414.0,road_viols,full
128,0.0,road_viols,full
129,1998.0,road_viols,full
130,0.0,road_viols,full
131,0.0,road_viols,full
132,1.0,road_viols,full
133,2.0,road_viols,full
134,0.0,road_viols,full
135,0.0,road_viols,full
136,1413.0,road_viols,full
137,0.0,road_viols,full
138,0.0,road_viols,full
139,0.0,road_viols,full
140,0.0,road_viols,full
141,0.0,road_viols,full
142,2.0,road_viols,full
143,1.0,road_viols,full
144,0.0,road_viols,full
145,0.0,road_viols,full
146,1737.0,road_viols,full
147,0.0,road_viols,full
148,0.0,road_viols,full
149,0.0,road_viols,full
150,0.0,road_viols,full
151,0.0,road_viols,full
152,0.0,road_viols,full
153,0.0,road_viols,full
154,7.0,road_viols,full
155,3.0,road_viols,full
156,0.0,road_viols,full
157,0.0,road_viols,full
158,169.0,road_viols,full
159,0.0,road_viols,full
160,0.0,road_viols,full
161,0.0,road_viols,full
162,0.0,road_viols,full
163,351.0,road_viols,full
164,0.0,road_viols,full
165,0.0,road_viols,full
166,0.0,road_viols,full
167,1.0,road_viols,full
168,0.0,road_viols,full
169,0.0,road_viols,full
170,233.0,road_viols,full
171,0.0,road_viols,full
172,0.0,road_viols,full
173,0.0,road_viols,full
174,0.0,road_viols,full
175,3.0,road_viols,full
176,0.0,road_viols,full
177,0.0,road_viols,full
178,25.0,road_viols,full
179,5.0,road_viols,full
180,0.0,road_viols,full
181,0.0,road_viols,full
182,397.0,road_viols,full
183,0.0,road_viols,full
184,0.0,road_viols,full
185,0.0,road_viols,full
186,0.0,road_viols,full
187,0.0,road_viols,full
188,0.0,road_viols,full
189,0.0,road_viols,full
190,16.0,road_viols,full
191,1.0,road_viols,full
192,0.0,road_viols,full
